fpr,tpr,threshold
0.0,0.0,inf
0.0,0.03614457831325301,0.998
0.0,0.12048192771084337,0.996
0.0,0.1927710843373494,0.992
0.0,0.20481927710843373,0.99
0.015151515151515152,0.24096385542168675,0.988
0.015151515151515152,0.2891566265060241,0.986
0.015151515151515152,0.3132530120481928,0.984
0.015151515151515152,0.3493975903614458,0.98
0.015151515151515152,0.37349397590361444,0.976
0.015151515151515152,0.40963855421686746,0.972
0.015151515151515152,0.5301204819277109,0.96
0.015151515151515152,0.5783132530120482,0.958
0.015151515151515152,0.6024096385542169,0.954
0.015151515151515152,0.6385542168674698,0.95
0.015151515151515152,0.6626506024096386,0.946
0.015151515151515152,0.6867469879518072,0.944
0.015151515151515152,0.7108433734939759,0.938
0.015151515151515152,0.7590361445783133,0.93
0.015151515151515152,0.8072289156626506,0.916
0.015151515151515152,0.8313253012048193,0.908
0.015151515151515152,0.8554216867469879,0.884
0.015151515151515152,0.8795180722891566,0.878
0.07575757575757576,0.8795180722891566,0.386
0.13636363636363635,0.8795180722891566,0.366
0.15151515151515152,0.8795180722891566,0.356
0.15151515151515152,0.891566265060241,0.33
0.19696969696969696,0.891566265060241,0.27
0.21212121212121213,0.9036144578313253,0.262
0.30303030303030304,0.9036144578313253,0.23
0.3333333333333333,0.9036144578313253,0.228
0.3484848484848485,0.9036144578313253,0.222
0.3484848484848485,0.9156626506024096,0.218
0.3939393939393939,0.9156626506024096,0.204
0.4090909090909091,0.927710843373494,0.192
0.45454545454545453,0.927710843373494,0.19
0.48484848484848486,0.927710843373494,0.182
0.5303030303030303,0.927710843373494,0.162
0.5606060606060606,0.9397590361445783,0.158
0.6212121212121212,0.9397590361445783,0.154
0.6363636363636364,0.9397590361445783,0.152
0.6363636363636364,0.963855421686747,0.146
0.6515151515151515,0.963855421686747,0.138
0.6818181818181818,0.963855421686747,0.136
0.696969696969697,0.9759036144578314,0.122
0.7424242424242424,0.9759036144578314,0.11
0.7727272727272727,0.9759036144578314,0.108
0.8636363636363636,0.9759036144578314,0.08
0.8636363636363636,0.9879518072289156,0.078
0.8939393939393939,0.9879518072289156,0.076
0.9545454545454546,0.9879518072289156,0.05
1.0,0.9879518072289156,0.046
1.0,1.0,0.042
