threshold,accuracy,precision_pos,recall_pos,f1_pos,confusion_matrix
0.05,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.060000000000000005,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.07,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.08000000000000002,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.09000000000000001,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.1,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.11000000000000001,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.12000000000000001,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.13,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.14,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.15000000000000002,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.16000000000000003,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.17000000000000004,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.18000000000000005,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.19,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.2,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.21000000000000002,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.22000000000000003,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
0.23000000000000004,0.49572649572649574,0.49572649572649574,1.0,0.6628571428571428,"[[0, 59], [0, 58]]"
